slide_id,label,split,N_patches,feat_mean_norm,feat_std_mean,feat_norm_mean,feat_norm_std
tumor_078,1,train,10128,3.794529914855957,0.06235465034842491,4.223823547363281,0.18238413333892822
tumor_063,1,train,46880,3.3674488067626953,0.07195684313774109,4.010116100311279,0.26134154200553894
tumor_102,1,train,64608,3.5714340209960938,0.06873776763677597,4.120838165283203,0.2741283178329468
tumor_077,1,train,23232,3.37969970703125,0.06904224306344986,3.967961072921753,0.22739948332309723
tumor_001,1,train,23808,3.164886951446533,0.07565797120332718,3.9442672729492188,0.31509312987327576
tumor_023,1,train,9872,3.2144603729248047,0.07188546657562256,3.893880844116211,0.28037363290786743
tumor_106,1,train,35872,3.501863956451416,0.06961993128061295,4.072479724884033,0.2870608866214752
tumor_107,1,train,6688,3.3057618141174316,0.07362198084592819,3.967071056365967,0.33347493410110474
tumor_093,1,train,9888,3.7221450805664062,0.06234133243560791,4.148171901702881,0.19550712406635284
tumor_096,1,train,9072,3.3174524307250977,0.07439637929201126,3.993051767349243,0.3218560814857483
tumor_032,1,train,47968,3.2989728450775146,0.0730787068605423,3.99717378616333,0.21848836541175842
tumor_006,1,train,49264,3.496824026107788,0.0660019963979721,4.02954626083374,0.22307676076889038
tumor_108,1,train,24512,3.6978797912597656,0.0653638020157814,4.17281436920166,0.2725558578968048
tumor_066,1,train,20992,3.4541563987731934,0.06892145425081253,4.022381782531738,0.3132743835449219
tumor_008,1,train,38496,3.3692355155944824,0.06963437795639038,3.9661104679107666,0.24420417845249176
tumor_100,1,train,19424,3.5449085235595703,0.06864430755376816,4.08408260345459,0.2730855345726013
tumor_027,1,train,35888,3.416106700897217,0.06781179457902908,3.9865245819091797,0.2515074610710144
tumor_002,1,train,13072,3.342755079269409,0.07611628621816635,4.070950984954834,0.32267963886260986
tumor_035,1,train,10432,3.2482287883758545,0.06934124231338501,3.8526034355163574,0.34935763478279114
tumor_079,1,train,6272,3.6473469734191895,0.06479606032371521,4.123600959777832,0.26339825987815857
tumor_019,1,train,8016,3.179941177368164,0.07238713651895523,3.8579864501953125,0.27867549657821655
tumor_044,1,train,29520,3.1994800567626953,0.07418554276227951,3.910468101501465,0.2890505790710449
tumor_041,1,train,19808,3.4196996688842773,0.07020842283964157,4.039896011352539,0.27205872535705566
tumor_070,1,train,18288,3.116208076477051,0.076858751475811,3.9115796089172363,0.3343063294887543
tumor_081,1,train,9072,3.6268434524536133,0.06365673989057541,4.098151206970215,0.2916562259197235
tumor_017,1,train,25888,3.347033977508545,0.0682794377207756,3.9449329376220703,0.24836452305316925
tumor_003,1,train,22048,3.4018189907073975,0.07303086668252945,4.062215328216553,0.3113272488117218
tumor_052,1,train,38720,3.1881566047668457,0.07431574165821075,3.936370849609375,0.25100067257881165
tumor_026,1,train,49664,3.2672994136810303,0.07870880514383316,4.044497966766357,0.3297133147716522
tumor_018,1,train,30400,3.2274022102355957,0.07326484471559525,3.93643856048584,0.2937900125980377
tumor_051,1,train,21472,3.260985851287842,0.07122253626585007,3.9049274921417236,0.2545943558216095
tumor_029,1,train,19024,3.2056713104248047,0.07183656841516495,3.8670339584350586,0.31412848830223083
tumor_098,1,train,12528,3.0894486904144287,0.0767015591263771,3.890897512435913,0.4595034718513489
tumor_097,1,train,11856,3.439649820327759,0.06902294605970383,4.0331549644470215,0.28163209557533264
tumor_050,1,train,27792,3.4040956497192383,0.06571444123983383,3.9430124759674072,0.21027658879756927
tumor_016,1,train,12592,3.1573431491851807,0.0739235207438469,3.8764264583587646,0.2272329330444336
tumor_049,1,train,8048,3.2045326232910156,0.07382618635892868,3.9428398609161377,0.2926587164402008
tumor_103,1,train,32592,3.378521203994751,0.07459620386362076,4.056366920471191,0.3559251129627228
tumor_094,1,train,10384,3.216529607772827,0.07765302807092667,4.002620697021484,0.32432764768600464
tumor_042,1,train,13552,3.3475966453552246,0.07656732946634293,4.051085472106934,0.396658718585968
tumor_057,1,train,10864,3.2235960960388184,0.0741235688328743,3.9282851219177246,0.3682170808315277
